ID,Sammlungs-ID,Marke,Name,Abfüllserie,Status,"Deklariertes Alter",Größe,Stärke,Einheit,Fasstyp,Liste,Bewertung,"Meine Bewertung","Bezahlter Preis",Währung,"Mittlerer preis","Währung Whisky",Destillerien,Jahrgang,"Hinzugefügt am",Bild,Auktionspreis:,"Währung Whisky",Notizen,Kaufort
131902,5053718,Talisker,"Dark Storm","Matured in Charred Casks",open,,1000,45.80,%vol,"Heavily Charred Casks",,85.50,,,,50.45,EUR,Talisker,,"2020-12-19 21:10:03",https://static.whiskybase.com/storage/whiskies/1/3/1902/221729-normal.png,46.68,EUR,,
103198,5053720,"Caol Ila",25-year-old,,open,25,700,43.00,%vol,,,89.01,,,,432,EUR,"Caol Ila",,"2020-12-19 21:11:26",https://static.whiskybase.com/storage/whiskies/1/0/3198/399198-normal.png,207.53,EUR,,
117267,5053725,"Glen Moray",15-year-old,"Elgin Heritage",open,15,700,46.00,%vol,"American & Oloroso Sherry Casks",,81.67,,,,48.9,EUR,"Glen Moray",,"2020-12-19 21:13:30",https://static.whiskybase.com/storage/whiskies/1/1/7267/196987-normal.png,40.18,EUR,,
130659,5053727,Smokehead,"High Voltage IM",,open,,700,58.00,%vol,,,86.78,,,,46.9,EUR,,,"2020-12-19 21:14:31",https://static.whiskybase.com/storage/whiskies/1/3/0659/219748-normal.png,40.96,EUR,,
97304,5053730,Inchmoan,12-year-old,"Island Collection",open,12,700,46.00,%vol,"Re-charred American Oak & Refill Bourbon",,82.55,,,,53.5,EUR,"Loch Lomond",,"2020-12-19 21:15:16",https://static.whiskybase.com/storage/whiskies/9/7/304/275319-normal.png,35.91,EUR,,
131294,5053732,Flóki,03-year-old,"Beer Barrel Finish",open,3,500,45.00,%vol,"Imperial Stout Finish",,79.33,,,,69.9,EUR,"Eimverk Distillery",,"2020-12-19 21:16:14",https://static.whiskybase.com/storage/whiskies/1/3/1294/281083-normal.png,29.06,EUR,,
94065,5053742,Ballechin,2005,"SFTC - Bordeaux Cask Matured",open,11,500,57.10,%vol,"Bordeaux Red Wine Cask",,86.81,,,,81.75,EUR,Edradour,07.12.2005,"2020-12-19 21:18:09",https://static.whiskybase.com/storage/whiskies/9/4/065/152476-normal.png,71.26,EUR,,
162172,5053745,"Islay Single Malt Scotch Whisky","2009/2010 NSS","Chaos - Limited Edition No. 1",open,,700,50.00,%vol,"PX hogshead x2, refill hogshead x1",,86.38,,,,68.09,GBP,,2009/2010,"2020-12-19 21:18:54",https://static.whiskybase.com/storage/whiskies/1/6/2172/273885-normal.png,40.7,EUR,,
105438,5053753,Ardmore,"1996 DL","Old Particular",open,21,700,52.00,%vol,"Refill Hogshead",,86.70,,,,95.9,EUR,Ardmore,10.1996,"2020-12-19 21:21:05",https://static.whiskybase.com/storage/whiskies/1/0/5438/184137-normal.png,93.47,EUR,,
221260,5053755,Laphroaig,"Cairdeas - 15-year-old",,open,15,700,43.00,%vol,"1st Fill Ex-Bourbon Casks",,87.05,,,,316.87,EUR,Laphroaig,2002,"2020-12-19 21:21:51",https://static.whiskybase.com/storage/whiskies/2/2/1260/165972-normal.png,127.45,EUR,,
154997,5053770,Ledaig,"2007 LT","From Miles Away - Artist Edition 2020",open,13,700,52.90,%vol,"1st Fill PX Sherry Butt",,87.66,,,,113.04,EUR,Tobermory,02.2007,"2020-12-19 21:32:10",https://static.whiskybase.com/storage/whiskies/1/5/4997/265474-normal.png,143,EUR,,
99892,5053774,Flóki,"Icelandic Young Malt","Sheep Dung Smoked Reserve",open,,500,47.00,%vol,"American Oak Barrel",,75.38,,,,75,EUR,"Eimverk Distillery",,"2020-12-19 21:32:59",https://static.whiskybase.com/storage/whiskies/9/9/892/160250-normal.png,,,,
170724,5053780,"Classic of Islay","Vintage 2020 JW",,open,,700,56.30,%vol,,,85.30,,,,42.9,EUR,,,"2020-12-19 21:34:27",https://static.whiskybase.com/storage/whiskies/1/7/0724/294348-normal.png,56.1,EUR,,
160250,5053792,"Overaged Malt Whisky","Distilled in Scotland MCo",,closed,,700,52.00,%vol,,,89.21,,,,133.71,EUR,,,"2020-12-19 21:38:48",https://static.whiskybase.com/storage/whiskies/1/6/0250/274250-normal.png,,,,
96625,5053797,"Cask Islay","NAS DR","Small Batch",empty,,700,46.00,%vol,"Oak Casks",,82.80,,,,37.95,EUR,,,"2020-12-19 21:40:08",https://static.whiskybase.com/storage/whiskies/9/6/625/182590-normal.png,38.5,EUR,,
99809,5053808,"Old Ballantruan","The Peated Malt","Speyside Glenlivet",open,,700,50.00,%vol,"Oak Casks",,82.36,,,,36.65,EUR,Tomintoul,,"2020-12-19 21:45:12",https://static.whiskybase.com/storage/whiskies/9/9/809/159870-normal.png,31.79,EUR,,
